trait,build_gs_ctrl,var_ratio,marginal,save_marginal,conditional,trait_total
PASS_ADHD_Demontis2018,7.069,0.058,10.117,1.557,2.222,21.063
PASS_Alzheimers_Jansen2019,6.104,0.054,8.897,1.117,2.261,18.45
PASS_AtrialFibrillation_Nielsen2018,6.706,0.078,9.367,0.926,3.29,20.397
PASS_BIP_Mullins2021,6.987,0.058,8.683,1.203,3.293,20.23
PASS_CD_deLange2017,7.32,0.051,8.986,1.032,2.284,19.68
PASS_Celiac,6.466,0.053,7.528,0.937,1.855,16.843
PASS_Coronary_Artery_Disease,5.909,0.052,7.224,0.864,1.9,15.954
PASS_DrinksPerWeek_Liu2019,5.901,0.049,7.284,1.741,2.051,17.033
PASS_FastingGlucose_Manning,7.364,0.063,8.695,0.879,2.385,19.392
PASS_GeneralRiskTolerance_KarlssonLinner2019,6.981,0.062,8.521,0.959,2.461,18.994
PASS_IBD_deLange2017,6.642,0.079,9.239,0.861,3.177,20.011
PASS_Insomnia_Jansen2019,6.6,0.067,8.454,0.991,2.478,18.596
PASS_Intelligence_SavageJansen2018,8.316,0.066,9.799,0.975,2.611,21.787
PASS_Lupus,6.964,0.057,8.829,0.948,2.297,19.108
PASS_MDD_Howard2019,6.636,0.06,8.615,1.587,2.604,19.515
PASS_Multiple_sclerosis,7.936,0.058,9.368,0.862,2.608,20.867
PASS_Parkinsons23andMe_Corces2020,6.832,0.063,9.468,1.001,2.165,19.56
PASS_Primary_biliary_cirrhosis,6.966,0.056,8.956,1.303,2.437,19.748
PASS_ReactionTime_Davies2018,7.841,0.071,8.597,0.886,2.888,20.294
PASS_Rheumatoid_Arthritis,7.422,0.097,8.663,0.964,2.605,19.76
PASS_SWB,6.72,0.055,10.137,1.86,2.596,21.39
PASS_Schizophrenia_Pardinas2018,8.845,0.07,9.064,1.058,2.444,21.488
PASS_SleepDuration_Dashti2019,6.518,0.062,8.638,0.904,2.626,18.764
PASS_Type_1_Diabetes,7.009,0.056,8.253,0.838,2.864,19.025
PASS_Type_2_Diabetes,6.792,0.069,8.917,0.893,2.693,19.371
PASS_UC_deLange2017,7.424,0.05,10.296,1.028,2.662,21.493
PASS_VerbalNumericReasoning_Davies2018,6.572,0.05,8.382,0.872,2.509,18.393
PASS_Worry_Nagel2018,6.493,0.067,8.41,1.453,2.141,18.569
UKB_460K.biochemistry_AlanineAminotransferase,5.756,0.049,7.167,0.855,2.091,15.921
UKB_460K.biochemistry_AlkalinePhosphatase,6.7,0.051,7.188,0.824,2.049,16.816
UKB_460K.biochemistry_Cholesterol,6.114,0.052,7.781,1.104,2.138,17.194
UKB_460K.biochemistry_Glucose,6.091,0.053,8.136,1.515,2.318,18.118
UKB_460K.biochemistry_HDLcholesterol,6.306,0.05,8.944,0.903,2.172,18.384
UKB_460K.biochemistry_HbA1c,6.649,0.051,8.25,0.862,2.294,18.111
UKB_460K.biochemistry_LDLdirect,6.262,0.052,9.151,1.122,2.124,18.756
UKB_460K.biochemistry_SHBG,6.351,0.053,8.6,1.41,2.103,18.521
UKB_460K.biochemistry_Testosterone_Male,6.146,0.05,8.912,0.879,2.07,18.079
UKB_460K.biochemistry_TotalBilirubin,6.836,0.054,9.442,0.881,2.214,19.506
UKB_460K.biochemistry_TotalProtein,6.23,0.056,8.946,1.142,2.117,18.547
UKB_460K.biochemistry_Triglycerides,6.095,0.052,8.873,1.504,2.082,18.616
UKB_460K.blood_EOSINOPHIL_COUNT,6.044,0.051,8.864,0.864,2.147,18.019
UKB_460K.blood_LYMPHOCYTE_COUNT,6.599,0.049,9.206,0.888,2.209,18.967
UKB_460K.blood_MEAN_CORPUSCULAR_HEMOGLOBIN,6.07,0.065,9.071,1.191,1.943,18.366
UKB_460K.blood_MONOCYTE_COUNT,6.241,0.05,9.161,1.475,2.305,19.271
UKB_460K.blood_PLATELET_COUNT,5.995,0.051,8.645,0.936,1.94,17.603
UKB_460K.blood_RBC_DISTRIB_WIDTH,6.642,0.054,8.835,0.836,2.59,18.997
UKB_460K.blood_RED_COUNT,6.133,0.051,9.174,1.101,2.028,18.528
UKB_460K.blood_WHITE_COUNT,6.276,0.054,8.821,1.455,2.054,18.71
UKB_460K.bmd_HEEL_TSCOREz,5.924,0.053,8.014,0.883,2.331,17.21
UKB_460K.body_BALDING1,6.465,0.05,7.582,0.832,2.096,17.033
UKB_460K.body_BMIz,6.659,0.053,8.41,1.199,2.529,18.856
UKB_460K.body_HEIGHTz,6.545,0.051,9.618,1.347,2.742,20.32
UKB_460K.body_WHRadjBMIz,7.122,0.053,8.344,0.839,2.214,18.585
UKB_460K.bp_DIASTOLICadjMEDz,7.012,0.05,7.994,0.892,2.747,18.701
UKB_460K.bp_SYSTOLICadjMEDz,7.206,0.055,8.588,0.871,2.236,18.967
UKB_460K.cancer_BREAST,6.066,0.049,7.896,1.503,2.144,17.664
UKB_460K.cov_EDU_COLLEGE,6.83,0.067,8.216,0.974,2.147,18.245
UKB_460K.cov_EDU_YEARS,6.997,0.055,7.959,1.194,2.24,18.457
UKB_460K.cov_SMOKING_STATUS,6.163,0.05,8.409,0.889,2.386,17.912
UKB_460K.disease_AID_ALL,7.422,0.061,8.724,1.429,2.764,20.414
UKB_460K.disease_ALLERGY_ECZEMA_DIAGNOSED,6.652,0.058,8.286,0.873,2.501,18.384
UKB_460K.disease_ASTHMA_DIAGNOSED,7.467,0.058,8.835,1.04,2.476,19.893
UKB_460K.disease_CARDIOVASCULAR,6.787,0.052,8.423,0.926,3.233,19.443
UKB_460K.disease_HYPERTENSION_DIAGNOSED,6.857,0.2,9.756,0.967,2.493,20.287
UKB_460K.disease_HYPOTHYROIDISM_SELF_REP,6.996,0.062,8.522,0.992,2.894,19.482
UKB_460K.disease_RESPIRATORY_ENT,7.993,0.085,9.353,0.887,2.856,21.186
UKB_460K.impedance_BASAL_METABOLIC_RATEz,6.087,0.052,7.555,0.924,2.08,16.702
UKB_460K.lung_FEV1FVCzSMOKE,6.269,0.051,7.341,0.87,2.443,16.983
UKB_460K.lung_FVCzSMOKE,6.073,0.053,7.462,1.01,2.218,16.828
UKB_460K.mental_NEUROTICISM,6.563,0.051,8.036,1.546,2.302,18.516
UKB_460K.other_MORNINGPERSON,6.531,0.052,8.421,0.934,2.361,18.316
UKB_460K.pigment_HAIR,6.448,0.056,8.713,0.905,2.317,18.476
UKB_460K.repro_MENARCHE_AGE,6.307,0.069,8.678,1.125,2.177,18.371
UKB_460K.repro_MENOPAUSE_AGE,8.262,0.058,8.829,1.362,2.704,21.235
UKB_460K.repro_NumberChildrenEverBorn_Pooled,6.76,0.063,8.665,0.934,2.033,18.464
