trait,pearson_r,frac_sig_scdrsfm,frac_sig_scdrs,n_cells
UKB_460K.lung_FEV1FVCzSMOKE,0.7495413098372076,0.3076,0.1882,10000
PASS_Multiple_sclerosis,0.7135865923525065,0.3885,0.1825,10000
UKB_460K.body_WHRadjBMIz,0.7015102297649071,0.2538,0.1642,10000
PASS_Rheumatoid_Arthritis,0.6980707222674518,0.2161,0.1633,10000
UKB_460K.blood_MONOCYTE_COUNT,0.6976611727470972,0.2685,0.1661,10000
UKB_460K.disease_AID_ALL,0.6927522890490586,0.2779,0.1575,10000
UKB_460K.bmd_HEEL_TSCOREz,0.6815552895188489,0.2909,0.1629,10000
UKB_460K.blood_LYMPHOCYTE_COUNT,0.6750008746010056,0.2702,0.1748,10000
PASS_Primary_biliary_cirrhosis,0.6717470706278273,0.2199,0.1573,10000
UKB_460K.blood_EOSINOPHIL_COUNT,0.6703535088415571,0.2335,0.1625,10000
UKB_460K.disease_HYPOTHYROIDISM_SELF_REP,0.664823358826912,0.2513,0.1549,10000
UKB_460K.biochemistry_Glucose,0.6536884082714776,0.0895,0.1055,10000
UKB_460K.lung_FVCzSMOKE,0.6531725773584419,0.1993,0.1448,10000
UKB_460K.disease_RESPIRATORY_ENT,0.6482830448386889,0.1961,0.1409,10000
PASS_Lupus,0.6479492979187365,0.2231,0.1523,10000
UKB_460K.disease_ALLERGY_ECZEMA_DIAGNOSED,0.6435258705310141,0.2136,0.1533,10000
PASS_CD_deLange2017,0.6429788625167866,0.2455,0.1614,10000
PASS_IBD_deLange2017,0.6418390100927545,0.2311,0.1507,10000
PASS_MDD_Howard2019,0.638267690272393,0.1827,0.1325,10000
UKB_460K.mental_NEUROTICISM,0.6296003626684616,0.2672,0.1339,10000
UKB_460K.body_HEIGHTz,0.6239849332042154,0.2049,0.1371,10000
PASS_SWB,0.6226836763591636,0.2439,0.1348,10000
UKB_460K.disease_ASTHMA_DIAGNOSED,0.6181245449007124,0.2069,0.1432,10000
UKB_460K.body_BMIz,0.6163695230284014,0.131,0.1279,10000
UKB_460K.bp_DIASTOLICadjMEDz,0.6162767055549163,0.1965,0.1394,10000
PASS_SleepDuration_Dashti2019,0.6042336827439545,0.1262,0.1306,10000
PASS_Schizophrenia_Pardinas2018,0.60175751688886,0.112,0.1322,10000
UKB_460K.bp_SYSTOLICadjMEDz,0.5990952273110209,0.2636,0.1335,10000
UKB_460K.cov_EDU_COLLEGE,0.5977016734081464,0.1869,0.1279,10000
PASS_UC_deLange2017,0.5969586229406566,0.2325,0.1381,10000
UKB_460K.cov_EDU_YEARS,0.5968656650864671,0.1749,0.1289,10000
UKB_460K.body_BALDING1,0.5941048433722949,0.23,0.1425,10000
UKB_460K.biochemistry_AlkalinePhosphatase,0.5925797917490678,0.2603,0.1293,10000
PASS_Worry_Nagel2018,0.5898063159347966,0.1648,0.1269,10000
UKB_460K.biochemistry_LDLdirect,0.5885132871449451,0.1557,0.1157,10000
PASS_FastingGlucose_Manning,0.5869417424729643,0.154,0.1076,10000
UKB_460K.biochemistry_Cholesterol,0.5855414446088015,0.1526,0.1183,10000
UKB_460K.blood_WHITE_COUNT,0.5852329704398387,0.2206,0.1364,10000
UKB_460K.pigment_HAIR,0.5842685077081251,0.1442,0.1256,10000
