trait_order,cell_type_order,trait,trait_label,cell_type,cell_type_label,cell_type_total_cells,marginal_cell_type_proportion,conditional_cell_type_proportion,conditional_proportion_displayed,conditional_passes_display_threshold,star_marginal_cell_type_proportion,marginal_star_displayed,star_conditional_cell_type_proportion,conditional_star_displayed,independent_signals_passing_annotation_threshold,independent_signal_annotation_displayed,display_threshold,star_threshold,annotation_threshold,display_inclusion_rule,star_inclusion_rule,annotation_inclusion_rule
1,1,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),b'Neuron',b'Neuron',3389,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,2,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),b'Radial glia',b'Radial glia',3042,0.009204470742932281,0.0023011176857330702,0.0,False,0.09375,True,0.03125,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,3,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),b'Neuroblast',b'Neuroblast',1723,0.0005803830528148578,0.0,0.0,False,0.005,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,4,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),b'Glioblast',b'Glioblast',840,0.23214285714285715,0.08333333333333333,0.08333333333333333,True,0.8108108108108109,True,0.26153846153846155,True,2,2,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,5,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),b'Neuronal IPC',b'Neuronal IPC',685,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,6,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),b'Fibroblast',b'Fibroblast',106,0.9622641509433962,0.0,0.0,False,1.0,True,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,7,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),b'Vascular',b'Vascular',84,1.0,0.0,0.0,False,1.0,True,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,8,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),b'Immune',b'Immune',41,1.0,1.0,1.0,True,1.0,True,1.0,True,1,1,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,9,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),b'Oligo',b'Oligo',40,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,10,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),b'Erythrocyte',b'Erythrocyte',36,1.0,0.0,0.0,False,1.0,True,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,11,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),b'Placodes',b'Placodes',8,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,12,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),b'Neural crest',b'Neural crest',6,0.5,0.0,0.0,False,0.5,True,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
2,1,PASS_ADHD_Demontis2018,ADHD,b'Neuron',b'Neuron',3389,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
2,2,PASS_ADHD_Demontis2018,ADHD,b'Radial glia',b'Radial glia',3042,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
2,3,PASS_ADHD_Demontis2018,ADHD,b'Neuroblast',b'Neuroblast',1723,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
2,4,PASS_ADHD_Demontis2018,ADHD,b'Glioblast',b'Glioblast',840,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
2,5,PASS_ADHD_Demontis2018,ADHD,b'Neuronal IPC',b'Neuronal IPC',685,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
2,6,PASS_ADHD_Demontis2018,ADHD,b'Fibroblast',b'Fibroblast',106,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
2,7,PASS_ADHD_Demontis2018,ADHD,b'Vascular',b'Vascular',84,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
2,8,PASS_ADHD_Demontis2018,ADHD,b'Immune',b'Immune',41,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
2,9,PASS_ADHD_Demontis2018,ADHD,b'Oligo',b'Oligo',40,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
2,10,PASS_ADHD_Demontis2018,ADHD,b'Erythrocyte',b'Erythrocyte',36,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
2,11,PASS_ADHD_Demontis2018,ADHD,b'Placodes',b'Placodes',8,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
2,12,PASS_ADHD_Demontis2018,ADHD,b'Neural crest',b'Neural crest',6,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
3,1,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),b'Neuron',b'Neuron',3389,0.7695485393921511,0.12806137503688403,0.12806137503688403,True,0.9328859060402684,True,0.5167785234899329,True,"1,2","1,2",0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
3,2,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),b'Radial glia',b'Radial glia',3042,0.001643655489809336,0.0,0.0,False,0.011494252873563218,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
3,3,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),b'Neuroblast',b'Neuroblast',1723,0.3476494486360998,0.01567034242600116,0.01567034242600116,True,0.648936170212766,True,0.05319148936170213,True,2,2,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
3,4,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),b'Glioblast',b'Glioblast',840,0.0011904761904761906,0.0,0.0,False,0.0040650406504065045,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
3,5,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),b'Neuronal IPC',b'Neuronal IPC',685,0.02335766423357664,0.0,0.0,False,0.07142857142857142,True,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
3,6,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),b'Fibroblast',b'Fibroblast',106,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
3,7,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),b'Vascular',b'Vascular',84,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
3,8,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),b'Immune',b'Immune',41,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
