trait_order,cell_type_order,trait,trait_label,cell_type,cell_type_label,cell_type_total_cells,marginal_cell_type_proportion,conditional_cell_type_proportion,conditional_proportion_displayed,conditional_passes_display_threshold,star_marginal_cell_type_proportion,marginal_star_displayed,star_conditional_cell_type_proportion,conditional_star_displayed,independent_signals_passing_annotation_threshold,independent_signal_annotation_displayed,display_threshold,star_threshold,annotation_threshold,display_inclusion_rule,star_inclusion_rule,annotation_inclusion_rule
1,1,PASS_Parkinsons23andMe_Corces2020,Parkinson’s Disease (PD),Astrocyte,Astrocyte,324,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,2,PASS_Parkinsons23andMe_Corces2020,Parkinson’s Disease (PD),Microglia-PVM,Microglia-PVM,1332,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,3,PASS_Parkinsons23andMe_Corces2020,Parkinson’s Disease (PD),OPC,OPC,254,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,4,PASS_Parkinsons23andMe_Corces2020,Parkinson’s Disease (PD),L2/3 IT,L2/3 IT,2049,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,5,PASS_Parkinsons23andMe_Corces2020,Parkinson’s Disease (PD),L4 IT,L4 IT,1005,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,6,PASS_Parkinsons23andMe_Corces2020,Parkinson’s Disease (PD),L5 ET,L5 ET,13,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,7,PASS_Parkinsons23andMe_Corces2020,Parkinson’s Disease (PD),L5 IT,L5 IT,869,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,8,PASS_Parkinsons23andMe_Corces2020,Parkinson’s Disease (PD),L5/6 NP,L5/6 NP,163,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,9,PASS_Parkinsons23andMe_Corces2020,Parkinson’s Disease (PD),L6 CT,L6 CT,143,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,10,PASS_Parkinsons23andMe_Corces2020,Parkinson’s Disease (PD),L6 IT,L6 IT,305,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,11,PASS_Parkinsons23andMe_Corces2020,Parkinson’s Disease (PD),L6 IT Car3,L6 IT Car3,189,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,12,PASS_Parkinsons23andMe_Corces2020,Parkinson’s Disease (PD),L6b,L6b,117,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,13,PASS_Parkinsons23andMe_Corces2020,Parkinson’s Disease (PD),Chandelier,Chandelier,58,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,14,PASS_Parkinsons23andMe_Corces2020,Parkinson’s Disease (PD),Lamp5,Lamp5,241,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
1,15,PASS_Parkinsons23andMe_Corces2020,Parkinson’s Disease (PD),Lamp5 Lhx6,Lamp5 Lhx6,110,0.0,0.0,0.0,False,0.0,False,0.0,False,,,0.01,0.05,0.05,> 0.01,> 0.05,> 0.05
