trait_order,cell_type_order,trait,trait_label,cell_type,cell_type_label,cell_type_total_cells,cell_type_proportion,cell_type_proportion_displayed,passes_display_threshold,association_star_displayed,display_threshold,display_inclusion_rule
1,1,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),Endothelial,Endothelial,14,0.0,0.0,False,False,0.01,> 0.01
1,2,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),OPC,OPC,254,0.0,0.0,False,False,0.01,> 0.01
1,3,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),L4 IT,L4 IT,1005,0.0,0.0,False,False,0.01,> 0.01
1,4,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),L5 ET,L5 ET,13,0.0,0.0,False,False,0.01,> 0.01
1,5,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),L5 IT,L5 IT,869,0.0,0.0,False,False,0.01,> 0.01
1,6,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),L6 IT,L6 IT,305,0.003278688524590164,0.0,False,False,0.01,> 0.01
1,7,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),L6 IT Car3,L6 IT Car3,189,0.0,0.0,False,False,0.01,> 0.01
1,8,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),L6b,L6b,117,0.0,0.0,False,False,0.01,> 0.01
1,9,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),Chandelier,Chandelier,58,0.0,0.0,False,False,0.01,> 0.01
1,10,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),Lamp5,Lamp5,241,0.0,0.0,False,False,0.01,> 0.01
1,11,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),Lamp5 Lhx6,Lamp5 Lhx6,110,0.0,0.0,False,False,0.01,> 0.01
1,12,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),Pvalb,Pvalb,676,0.0,0.0,False,False,0.01,> 0.01
1,13,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),Sncg,Sncg,135,0.0,0.0,False,False,0.01,> 0.01
1,14,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),Sst,Sst,739,0.0,0.0,False,False,0.01,> 0.01
1,15,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),Sst Chodl,Sst Chodl,6,0.0,0.0,False,False,0.01,> 0.01
1,16,PASS_Alzheimers_Jansen2019,Alzheimer’s Disease (AD),Vip,Vip,623,0.0,0.0,False,False,0.01,> 0.01
2,1,PASS_ADHD_Demontis2018,ADHD,Endothelial,Endothelial,14,0.07142857142857142,0.07142857142857142,True,True,0.01,> 0.01
2,2,PASS_ADHD_Demontis2018,ADHD,OPC,OPC,254,0.0,0.0,False,False,0.01,> 0.01
2,3,PASS_ADHD_Demontis2018,ADHD,L4 IT,L4 IT,1005,0.0009950248756218905,0.0,False,False,0.01,> 0.01
2,4,PASS_ADHD_Demontis2018,ADHD,L5 ET,L5 ET,13,0.0,0.0,False,False,0.01,> 0.01
2,5,PASS_ADHD_Demontis2018,ADHD,L5 IT,L5 IT,869,0.0023014959723820483,0.0,False,False,0.01,> 0.01
2,6,PASS_ADHD_Demontis2018,ADHD,L6 IT,L6 IT,305,0.0,0.0,False,False,0.01,> 0.01
2,7,PASS_ADHD_Demontis2018,ADHD,L6 IT Car3,L6 IT Car3,189,0.0,0.0,False,False,0.01,> 0.01
2,8,PASS_ADHD_Demontis2018,ADHD,L6b,L6b,117,0.0,0.0,False,False,0.01,> 0.01
2,9,PASS_ADHD_Demontis2018,ADHD,Chandelier,Chandelier,58,0.0,0.0,False,False,0.01,> 0.01
2,10,PASS_ADHD_Demontis2018,ADHD,Lamp5,Lamp5,241,0.0,0.0,False,False,0.01,> 0.01
2,11,PASS_ADHD_Demontis2018,ADHD,Lamp5 Lhx6,Lamp5 Lhx6,110,0.0,0.0,False,False,0.01,> 0.01
2,12,PASS_ADHD_Demontis2018,ADHD,Pvalb,Pvalb,676,0.0014792899408284023,0.0,False,False,0.01,> 0.01
2,13,PASS_ADHD_Demontis2018,ADHD,Sncg,Sncg,135,0.0,0.0,False,False,0.01,> 0.01
2,14,PASS_ADHD_Demontis2018,ADHD,Sst,Sst,739,0.0,0.0,False,False,0.01,> 0.01
2,15,PASS_ADHD_Demontis2018,ADHD,Sst Chodl,Sst Chodl,6,0.0,0.0,False,False,0.01,> 0.01
2,16,PASS_ADHD_Demontis2018,ADHD,Vip,Vip,623,0.0,0.0,False,False,0.01,> 0.01
3,1,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),Endothelial,Endothelial,14,0.0,0.0,False,False,0.01,> 0.01
3,2,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),OPC,OPC,254,0.0,0.0,False,False,0.01,> 0.01
3,3,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),L4 IT,L4 IT,1005,0.003980099502487562,0.0,False,False,0.01,> 0.01
3,4,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),L5 ET,L5 ET,13,0.0,0.0,False,False,0.01,> 0.01
3,5,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),L5 IT,L5 IT,869,0.0023014959723820483,0.0,False,False,0.01,> 0.01
3,6,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),L6 IT,L6 IT,305,0.009836065573770493,0.0,False,False,0.01,> 0.01
3,7,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),L6 IT Car3,L6 IT Car3,189,0.0,0.0,False,False,0.01,> 0.01
3,8,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),L6b,L6b,117,0.008547008547008548,0.0,False,False,0.01,> 0.01
3,9,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),Chandelier,Chandelier,58,0.0,0.0,False,False,0.01,> 0.01
3,10,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),Lamp5,Lamp5,241,0.02074688796680498,0.02074688796680498,True,False,0.01,> 0.01
3,11,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),Lamp5 Lhx6,Lamp5 Lhx6,110,0.0,0.0,False,False,0.01,> 0.01
3,12,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),Pvalb,Pvalb,676,0.016272189349112426,0.016272189349112426,True,False,0.01,> 0.01
3,13,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),Sncg,Sncg,135,0.007407407407407408,0.0,False,False,0.01,> 0.01
3,14,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),Sst,Sst,739,0.005412719891745603,0.0,False,False,0.01,> 0.01
3,15,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),Sst Chodl,Sst Chodl,6,0.0,0.0,False,False,0.01,> 0.01
3,16,PASS_BIP_Mullins2021,Bipolar Disorder (BIP),Vip,Vip,623,0.006420545746388443,0.0,False,False,0.01,> 0.01
4,1,PASS_Intelligence_SavageJansen2018,Intelligence (IQ),Endothelial,Endothelial,14,0.0,0.0,False,False,0.01,> 0.01
