trait_order,cell_type_order,trait,trait_label,cell_type,cell_type_label,cell_type_total_cells,marginal_cell_type_proportion,marginal_passes_heatmap_inclusion,conditional_cell_type_proportion,conditional_proportion_displayed,conditional_passes_heatmap_inclusion,independent_signals_passing_heatmap_inclusion,independent_signal_annotation_displayed,marginal_threshold,conditional_threshold,marginal_inclusion_rule,conditional_inclusion_rule
1,1,PASS_CD_deLange2017,Crohn’s Disease (CD),TN 40h,TN 40h,986,0.6105476673427992,True,0.0030425963488843813,0.0,False,1,,0.05,0.05,> 0.05,> 0.05
1,2,PASS_CD_deLange2017,Crohn’s Disease (CD),TN 16h,TN 16h,803,0.9925280199252802,True,0.021170610211706103,0.0,False,1,,0.05,0.05,> 0.05,> 0.05
1,3,PASS_CD_deLange2017,Crohn’s Disease (CD),TCM 16h,TCM 16h,591,0.9898477157360406,True,0.06429780033840947,0.06429780033840947,True,4,4,0.05,0.05,> 0.05,> 0.05
1,4,PASS_CD_deLange2017,Crohn’s Disease (CD),TCM 40h,TCM 40h,336,0.6101190476190477,True,0.002976190476190476,0.0,False,4,,0.05,0.05,> 0.05,> 0.05
1,5,PASS_CD_deLange2017,Crohn’s Disease (CD),TEM 16h,TEM 16h,283,1.0,True,0.43462897526501765,0.43462897526501765,True,"1,2,3,4","1,2,3,4",0.05,0.05,> 0.05,> 0.05
1,6,PASS_CD_deLange2017,Crohn’s Disease (CD),TEM 40h,TEM 40h,270,0.8666666666666667,True,0.04814814814814815,0.0,False,2,,0.05,0.05,> 0.05,> 0.05
1,7,PASS_CD_deLange2017,Crohn’s Disease (CD),TN IFN 40h,TN IFN 40h,195,0.3435897435897436,True,0.0,0.0,False,,,0.05,0.05,> 0.05,> 0.05
1,8,PASS_CD_deLange2017,Crohn’s Disease (CD),TEM LA,TEM LA,186,0.10752688172043011,True,0.0,0.0,False,,,0.05,0.05,> 0.05,> 0.05
1,9,PASS_CD_deLange2017,Crohn’s Disease (CD),TN cycling 40h,TN cycling 40h,130,0.6384615384615384,True,0.0,0.0,False,,,0.05,0.05,> 0.05,> 0.05
1,10,PASS_CD_deLange2017,Crohn’s Disease (CD),TN NFKB,TN NFKB,106,0.8962264150943396,True,0.46226415094339623,0.46226415094339623,True,1,1,0.05,0.05,> 0.05,> 0.05
1,11,PASS_CD_deLange2017,Crohn’s Disease (CD),TM ER-stress 40h,TM ER-stress 40h,91,0.07692307692307693,True,0.0,0.0,False,,,0.05,0.05,> 0.05,> 0.05
1,12,PASS_CD_deLange2017,Crohn’s Disease (CD),nTreg 40h,nTreg 40h,79,0.7974683544303798,True,0.0,0.0,False,,,0.05,0.05,> 0.05,> 0.05
1,13,PASS_CD_deLange2017,Crohn’s Disease (CD),nTreg 16h,nTreg 16h,79,0.9873417721518988,True,0.012658227848101266,0.0,False,2,,0.05,0.05,> 0.05,> 0.05
1,14,PASS_CD_deLange2017,Crohn’s Disease (CD),TEM HLA+ 40h,TEM HLA+ 40h,56,0.6785714285714286,True,0.0,0.0,False,,,0.05,0.05,> 0.05,> 0.05
1,15,PASS_CD_deLange2017,Crohn’s Disease (CD),TEMRA 16h,TEMRA 16h,48,0.2916666666666667,True,0.0,0.0,False,,,0.05,0.05,> 0.05,> 0.05
1,16,PASS_CD_deLange2017,Crohn’s Disease (CD),TEMRA 40h,TEMRA 40h,44,0.29545454545454547,True,0.0,0.0,False,,,0.05,0.05,> 0.05,> 0.05
1,17,PASS_CD_deLange2017,Crohn’s Disease (CD),TN2 40h,TN2 40h,27,0.2962962962962963,True,0.0,0.0,False,,,0.05,0.05,> 0.05,> 0.05
1,18,PASS_CD_deLange2017,Crohn’s Disease (CD),TN IFN 16h,TN IFN 16h,25,1.0,True,0.0,0.0,False,,,0.05,0.05,> 0.05,> 0.05
1,19,PASS_CD_deLange2017,Crohn’s Disease (CD),HSP 16h,HSP 16h,25,1.0,True,0.0,0.0,False,,,0.05,0.05,> 0.05,> 0.05
2,1,PASS_UC_deLange2017,Ulcerative Colitis (UC),TN 40h,TN 40h,986,0.12880324543610547,True,0.056795131845841784,0.056795131845841784,True,,1,0.05,0.05,> 0.05,> 0.05
2,2,PASS_UC_deLange2017,Ulcerative Colitis (UC),TN 16h,TN 16h,803,0.6301369863013698,True,0.3686176836861768,0.3686176836861768,True,,1,0.05,0.05,> 0.05,> 0.05
2,3,PASS_UC_deLange2017,Ulcerative Colitis (UC),TCM 16h,TCM 16h,591,0.9153976311336718,True,0.751269035532995,0.751269035532995,True,,1,0.05,0.05,> 0.05,> 0.05
2,4,PASS_UC_deLange2017,Ulcerative Colitis (UC),TCM 40h,TCM 40h,336,0.07142857142857142,True,0.02976190476190476,0.0,False,,,0.05,0.05,> 0.05,> 0.05
2,5,PASS_UC_deLange2017,Ulcerative Colitis (UC),TEM 16h,TEM 16h,283,0.9823321554770318,True,0.9434628975265018,0.9434628975265018,True,,1,0.05,0.05,> 0.05,> 0.05
2,6,PASS_UC_deLange2017,Ulcerative Colitis (UC),TEM 40h,TEM 40h,270,0.16296296296296298,True,0.07037037037037037,0.07037037037037037,True,,1,0.05,0.05,> 0.05,> 0.05
2,7,PASS_UC_deLange2017,Ulcerative Colitis (UC),TN IFN 40h,TN IFN 40h,195,0.1641025641025641,True,0.1076923076923077,0.1076923076923077,True,,1,0.05,0.05,> 0.05,> 0.05
