trait_order,cell_type_order,trait,trait_label,cell_type,cell_type_label,cell_type_total_cells,cell_type_proportion,cell_type_proportion_displayed,association_star_displayed
1,1,PASS_CD_deLange2017,Crohn’s Disease (CD),HSP 16h,HSP 16h,25,0.0,0.0,False
1,2,PASS_CD_deLange2017,Crohn’s Disease (CD),TCM 16h,TCM 16h,591,0.01015228426395939,0.01015228426395939,False
1,3,PASS_CD_deLange2017,Crohn’s Disease (CD),TEM 16h,TEM 16h,283,0.053003533568904596,0.053003533568904596,True
1,4,PASS_CD_deLange2017,Crohn’s Disease (CD),TN 16h,TN 16h,803,0.0,0.0,False
1,5,PASS_CD_deLange2017,Crohn’s Disease (CD),TN IFN 16h,TN IFN 16h,25,0.0,0.0,False
1,6,PASS_CD_deLange2017,Crohn’s Disease (CD),TN NFKB,TN NFKB,106,0.018867924528301886,0.018867924528301886,False
1,7,PASS_CD_deLange2017,Crohn’s Disease (CD),nTreg 16h,nTreg 16h,79,0.012658227848101266,0.012658227848101266,False
1,8,PASS_CD_deLange2017,Crohn’s Disease (CD),nTreg 40h,nTreg 40h,79,0.0,0.0,False
2,1,PASS_UC_deLange2017,Ulcerative Colitis (UC),HSP 16h,HSP 16h,25,0.0,0.0,False
2,2,PASS_UC_deLange2017,Ulcerative Colitis (UC),TCM 16h,TCM 16h,591,0.005076142131979695,0.005076142131979695,False
2,3,PASS_UC_deLange2017,Ulcerative Colitis (UC),TEM 16h,TEM 16h,283,0.014134275618374558,0.014134275618374558,False
2,4,PASS_UC_deLange2017,Ulcerative Colitis (UC),TN 16h,TN 16h,803,0.0,0.0,False
2,5,PASS_UC_deLange2017,Ulcerative Colitis (UC),TN IFN 16h,TN IFN 16h,25,0.0,0.0,False
2,6,PASS_UC_deLange2017,Ulcerative Colitis (UC),TN NFKB,TN NFKB,106,0.0,0.0,False
2,7,PASS_UC_deLange2017,Ulcerative Colitis (UC),nTreg 16h,nTreg 16h,79,0.0,0.0,False
2,8,PASS_UC_deLange2017,Ulcerative Colitis (UC),nTreg 40h,nTreg 40h,79,0.0,0.0,False
3,1,PASS_IBD_deLange2017,Inflammatory Bowel Disease (IBD),HSP 16h,HSP 16h,25,0.04,0.04,False
3,2,PASS_IBD_deLange2017,Inflammatory Bowel Disease (IBD),TCM 16h,TCM 16h,591,0.015228426395939087,0.015228426395939087,True
3,3,PASS_IBD_deLange2017,Inflammatory Bowel Disease (IBD),TEM 16h,TEM 16h,283,0.06007067137809187,0.06007067137809187,True
3,4,PASS_IBD_deLange2017,Inflammatory Bowel Disease (IBD),TN 16h,TN 16h,803,0.0012453300124533001,0.0012453300124533001,False
3,5,PASS_IBD_deLange2017,Inflammatory Bowel Disease (IBD),TN IFN 16h,TN IFN 16h,25,0.0,0.0,False
3,6,PASS_IBD_deLange2017,Inflammatory Bowel Disease (IBD),TN NFKB,TN NFKB,106,0.03773584905660377,0.03773584905660377,True
3,7,PASS_IBD_deLange2017,Inflammatory Bowel Disease (IBD),nTreg 16h,nTreg 16h,79,0.0,0.0,True
3,8,PASS_IBD_deLange2017,Inflammatory Bowel Disease (IBD),nTreg 40h,nTreg 40h,79,0.0,0.0,False
4,1,PASS_Celiac,Celiac Disease (CeD),HSP 16h,HSP 16h,25,0.04,0.04,False
4,2,PASS_Celiac,Celiac Disease (CeD),TCM 16h,TCM 16h,591,0.025380710659898477,0.025380710659898477,False
4,3,PASS_Celiac,Celiac Disease (CeD),TEM 16h,TEM 16h,283,0.014134275618374558,0.014134275618374558,False
4,4,PASS_Celiac,Celiac Disease (CeD),TN 16h,TN 16h,803,0.0024906600249066002,0.0024906600249066002,False
4,5,PASS_Celiac,Celiac Disease (CeD),TN IFN 16h,TN IFN 16h,25,0.04,0.04,False
4,6,PASS_Celiac,Celiac Disease (CeD),TN NFKB,TN NFKB,106,0.05660377358490566,0.05660377358490566,False
4,7,PASS_Celiac,Celiac Disease (CeD),nTreg 16h,nTreg 16h,79,0.0,0.0,False
4,8,PASS_Celiac,Celiac Disease (CeD),nTreg 40h,nTreg 40h,79,0.0,0.0,False
5,1,PASS_Rheumatoid_Arthritis,Rheumatoid Arthritis (RA),HSP 16h,HSP 16h,25,0.0,0.0,False
5,2,PASS_Rheumatoid_Arthritis,Rheumatoid Arthritis (RA),TCM 16h,TCM 16h,591,0.001692047377326565,0.001692047377326565,False
5,3,PASS_Rheumatoid_Arthritis,Rheumatoid Arthritis (RA),TEM 16h,TEM 16h,283,0.0,0.0,False
5,4,PASS_Rheumatoid_Arthritis,Rheumatoid Arthritis (RA),TN 16h,TN 16h,803,0.0,0.0,False
5,5,PASS_Rheumatoid_Arthritis,Rheumatoid Arthritis (RA),TN IFN 16h,TN IFN 16h,25,0.0,0.0,False
5,6,PASS_Rheumatoid_Arthritis,Rheumatoid Arthritis (RA),TN NFKB,TN NFKB,106,0.0,0.0,False
5,7,PASS_Rheumatoid_Arthritis,Rheumatoid Arthritis (RA),nTreg 16h,nTreg 16h,79,0.0,0.0,False
5,8,PASS_Rheumatoid_Arthritis,Rheumatoid Arthritis (RA),nTreg 40h,nTreg 40h,79,0.0,0.0,True
6,1,UKB_460K.disease_AID_ALL,Autoimmune Traits (AIT),HSP 16h,HSP 16h,25,0.0,0.0,False
6,2,UKB_460K.disease_AID_ALL,Autoimmune Traits (AIT),TCM 16h,TCM 16h,591,0.0,0.0,False
6,3,UKB_460K.disease_AID_ALL,Autoimmune Traits (AIT),TEM 16h,TEM 16h,283,0.0,0.0,False
6,4,UKB_460K.disease_AID_ALL,Autoimmune Traits (AIT),TN 16h,TN 16h,803,0.0,0.0,False
6,5,UKB_460K.disease_AID_ALL,Autoimmune Traits (AIT),TN IFN 16h,TN IFN 16h,25,0.0,0.0,False
6,6,UKB_460K.disease_AID_ALL,Autoimmune Traits (AIT),TN NFKB,TN NFKB,106,0.0,0.0,False
6,7,UKB_460K.disease_AID_ALL,Autoimmune Traits (AIT),nTreg 16h,nTreg 16h,79,0.0,0.0,True
6,8,UKB_460K.disease_AID_ALL,Autoimmune Traits (AIT),nTreg 40h,nTreg 40h,79,0.0,0.0,False
7,1,UKB_460K.disease_ASTHMA_DIAGNOSED,Asthma,HSP 16h,HSP 16h,25,0.04,0.04,False
7,2,UKB_460K.disease_ASTHMA_DIAGNOSED,Asthma,TCM 16h,TCM 16h,591,0.025380710659898477,0.025380710659898477,False
7,3,UKB_460K.disease_ASTHMA_DIAGNOSED,Asthma,TEM 16h,TEM 16h,283,0.04240282685512368,0.04240282685512368,False
7,4,UKB_460K.disease_ASTHMA_DIAGNOSED,Asthma,TN 16h,TN 16h,803,0.0012453300124533001,0.0012453300124533001,False
7,5,UKB_460K.disease_ASTHMA_DIAGNOSED,Asthma,TN IFN 16h,TN IFN 16h,25,0.04,0.04,False
7,6,UKB_460K.disease_ASTHMA_DIAGNOSED,Asthma,TN NFKB,TN NFKB,106,0.04716981132075472,0.04716981132075472,False
7,7,UKB_460K.disease_ASTHMA_DIAGNOSED,Asthma,nTreg 16h,nTreg 16h,79,0.012658227848101266,0.012658227848101266,False
7,8,UKB_460K.disease_ASTHMA_DIAGNOSED,Asthma,nTreg 40h,nTreg 40h,79,0.0,0.0,False
8,1,UKB_460K.disease_ALLERGY_ECZEMA_DIAGNOSED,Allergic Eczema (ECZ),HSP 16h,HSP 16h,25,0.0,0.0,True
8,2,UKB_460K.disease_ALLERGY_ECZEMA_DIAGNOSED,Allergic Eczema (ECZ),TCM 16h,TCM 16h,591,0.02707275803722504,0.02707275803722504,True
8,3,UKB_460K.disease_ALLERGY_ECZEMA_DIAGNOSED,Allergic Eczema (ECZ),TEM 16h,TEM 16h,283,0.014134275618374558,0.014134275618374558,True
8,4,UKB_460K.disease_ALLERGY_ECZEMA_DIAGNOSED,Allergic Eczema (ECZ),TN 16h,TN 16h,803,0.0024906600249066002,0.0024906600249066002,True
